trial_type	game	level	stim_file	onset	sample	nframes	offset	duration	key	question	value
keypress				53.10998487472534	283191.269565923		53.362241983413696	0.2522571086883545	b		
keypress				50.19386696815491	283191.336233097		53.443126916885376	3.2492599487304688	r		
keypress				54.193278074264526	283192.253076288		54.35997295379639	0.16669487953186035	b		
keypress				53.97663497924805	283192.402978315		54.509876012802124	0.5332410335540771	r		
keypress				55.3935010433197	283193.436075042		55.52879595756531	0.13529491424560547	b		
keypress				55.393341064453125	283193.4695468		55.576443910598755	0.18310284614562988	r		
keypress				56.07627892494202	283194.352749518		56.459555864334106	0.38327693939208984	r		
keypress				56.076377868652344	283194.352753732		56.459632873535156	0.3832550048828125	b		
keypress				56.995073080062866	283195.469313156		57.576200008392334	0.5811269283294678	l		
keypress				58.14522886276245	283196.235775678		58.342660903930664	0.1974320411682129	l		
